url,screenshot,palette,heatmap,color_1,prop_1,color_2,prop_2,color_3,prop_3,color_4,prop_4,color_5,prop_5
https://terapy.neocities.org,screenshots\terapy.neocities.org.png,palettes\terapy.neocities.org_palette.png,heatmaps\terapy.neocities.org_heatmap.png,#151515,"80,88",#84828f,"4,82",#464f33,"8,53",#f7f7f7,"1,37",#79963a,"4,4"
https://misweaitas.neocities.org,screenshots\misweaitas.neocities.org.png,palettes\misweaitas.neocities.org_palette.png,heatmaps\misweaitas.neocities.org_heatmap.png,#fbfaf8,"10,42",#4a3f25,"21,92",#dbc7af,"23,6",#cc6c1d,"28,16",#a18c7c,"15,91"
https://xanxoepico.neocities.org,screenshots\xanxoepico.neocities.org.png,palettes\xanxoepico.neocities.org_palette.png,heatmaps\xanxoepico.neocities.org_heatmap.png,#b99e9f,"13,73",#fefefe,"41,56",#4f4d4d,"7,74",#f9d2d4,"33,08",#e9bc3b,"3,89"
https://koyanqi.neocities.org,screenshots\koyanqi.neocities.org.png,palettes\koyanqi.neocities.org_palette.png,heatmaps\koyanqi.neocities.org_heatmap.png,#edf2d5,"23,74",#8db68d,"5,1",#f6f6fd,"9,59",#e6edc0,"60,28",#c4bd5d,"1,29"
https://misho.neocities.org,screenshots\misho.neocities.org.png,palettes\misho.neocities.org_palette.png,heatmaps\misho.neocities.org_heatmap.png,#010102,"42,27",#343f54,"21,42",#da9096,"2,71",#282832,"26,82",#536379,"6,77"
https://foto-log.neocities.org,screenshots\foto-log.neocities.org.png,palettes\foto-log.neocities.org_palette.png,heatmaps\foto-log.neocities.org_heatmap.png,#ffffff,"99,97",#f3f4f3,0,#f9f9fa,"0,01",#f0efef,0,#fefefe,"0,01"
https://jaimebueno.neocities.org,screenshots\jaimebueno.neocities.org.png,palettes\jaimebueno.neocities.org_palette.png,heatmaps\jaimebueno.neocities.org_heatmap.png,#d3d4d8,"93,28",#4a4a4a,"0,6",#fefefe,"4,4",#848484,"0,28",#efeff0,"1,44"
https://magoexotico.neocities.org,screenshots\magoexotico.neocities.org.png,palettes\magoexotico.neocities.org_palette.png,heatmaps\magoexotico.neocities.org_heatmap.png,#251a3f,"40,53",#153a51,"21,63",#22032b,"34,3",#445e62,"2,95",#a7a7aa,"0,58"
https://josemiowo.neocities.org,screenshots\josemiowo.neocities.org.png,palettes\josemiowo.neocities.org_palette.png,heatmaps\josemiowo.neocities.org_heatmap.png,#480b0b,"33,94",#712d2d,"17,17",#c3c0bd,"3,71",#7c0203,"37,08",#8e6362,"8,1"
https://maicilocos.neocities.org,screenshots\maicilocos.neocities.org.png,palettes\maicilocos.neocities.org_palette.png,heatmaps\maicilocos.neocities.org_heatmap.png,#fefefe,"96,15",#2d2d2d,"1,85",#9d9e9e,"0,47",#0b0b0b,"0,9",#b8bae4,"0,63"
https://benblink.neocities.org,screenshots\benblink.neocities.org.png,palettes\benblink.neocities.org_palette.png,heatmaps\benblink.neocities.org_heatmap.png,#413738,"23,65",#fdfdfd,"50,88",#7b7a7c,"10,79",#c5c7ca,"9,53",#a12724,"5,15"
https://radiocopatacama.neocities.org,screenshots\radiocopatacama.neocities.org.png,palettes\radiocopatacama.neocities.org_palette.png,heatmaps\radiocopatacama.neocities.org_heatmap.png,#010101,"93,55",#afb0ae,"0,84",#e6db07,"1,35",#31424b,"2,36",#ba5828,"1,9"
https://jcbrizuela.neocities.org,screenshots\jcbrizuela.neocities.org.png,palettes\jcbrizuela.neocities.org_palette.png,heatmaps\jcbrizuela.neocities.org_heatmap.png,#04b1cd,"72,12",#79bc9c,"6,29",#dcae62,"4,37",#117a88,"14,64",#545031,"2,58"
https://chinchillachan.neocities.org,screenshots\chinchillachan.neocities.org.png,palettes\chinchillachan.neocities.org_palette.png,heatmaps\chinchillachan.neocities.org_heatmap.png,#fefefe,"89,33",#c1a49d,"0,11",#fefeee,"9,16",#e4e3de,"1,16",#ababed,"0,24"
https://fruna.neocities.org,screenshots\fruna.neocities.org.png,palettes\fruna.neocities.org_palette.png,heatmaps\fruna.neocities.org_heatmap.png,#fefefe,"97,13",#b3b3b3,"0,68",#5b5a5a,"0,16",#d2d2d2,"1,64",#848484,"0,38"
https://octavioalfonso.neocities.org,screenshots\octavioalfonso.neocities.org.png,palettes\octavioalfonso.neocities.org_palette.png,heatmaps\octavioalfonso.neocities.org_heatmap.png,#fefefe,"80,37",#795c5d,"4,58",#b4b4b5,"5,64",#493e46,"5,3",#987c7d,"4,11"
https://habbopepsi00125.neocities.org,screenshots\habbopepsi00125.neocities.org.png,palettes\habbopepsi00125.neocities.org_palette.png,heatmaps\habbopepsi00125.neocities.org_heatmap.png,#fefefe,"97,43",#c7c7d4,"0,84",#5f6278,"0,27",#aeaeaf,"0,49",#e7e7e8,"0,97"
https://vendovendo.neocities.org,screenshots\vendovendo.neocities.org.png,palettes\vendovendo.neocities.org_palette.png,heatmaps\vendovendo.neocities.org_heatmap.png,#000000,"68,09",#6b5f50,"22,71",#221f19,"2,49",#ba7255,"3,92",#494233,"2,79"
https://papelerapowgato3.neocities.org,screenshots\papelerapowgato3.neocities.org.png,palettes\papelerapowgato3.neocities.org_palette.png,heatmaps\papelerapowgato3.neocities.org_heatmap.png,#faebd6,"95,52",#c694dc,"0,51",#a156dc,"0,46",#b6aaad,1,#e2d1c9,"2,51"
https://cronico.neocities.org,screenshots\cronico.neocities.org.png,palettes\cronico.neocities.org_palette.png,heatmaps\cronico.neocities.org_heatmap.png,#010205,"84,6",#32352f,"3,54",#53554f,"1,84",#0f171a,"9,58",#999793,"0,44"
https://chantu.neocities.org,screenshots\chantu.neocities.org.png,palettes\chantu.neocities.org_palette.png,heatmaps\chantu.neocities.org_heatmap.png,#e8b674,"32,88",#201e2d,"21,38",#95483f,"21,52",#f9e7da,"4,71",#a58269,"19,52"
https://cliv.neocities.org,screenshots\cliv.neocities.org.png,palettes\cliv.neocities.org_palette.png,heatmaps\cliv.neocities.org_heatmap.png,#fefefe,"93,63",#576588,"1,51",#e4e4e7,"3,27",#474c61,"0,92",#b1b0b5,"0,68"
https://vd1r.neocities.org,screenshots\vd1r.neocities.org.png,palettes\vd1r.neocities.org_palette.png,heatmaps\vd1r.neocities.org_heatmap.png,#000000,98,#3e3b39,"0,87",#cdc8b6,"0,14",#784a29,"0,2",#181515,"0,79"
